"","scientificName","Year","sd","mean"
"1","Sphagnum angustifolium","2019",1.94218427860998,3.68518518518519
"2","Sphagnum angustifolium","2020",2.1475156255132,3.85185185185185
"3","Sphagnum angustifolium","2021",1.47568528447753,1.85294117647059
"4","Sphagnum angustifolium","2022",1.52363728893569,2.15
"5","Sphagnum balticum","2019",1.12339848721361,1.684
"6","Sphagnum balticum","2020",1.20512054512185,2.51774193548387
"7","Sphagnum balticum","2021",1.0298654689933,1.72274881516588
"8","Sphagnum balticum","2022",0.881430794846826,1.56042780748663
"9","Sphagnum capillifolium","2019",1.2801909579781,1.5
"10","Sphagnum capillifolium","2020",1.03998987849326,2.15
"11","Sphagnum capillifolium","2021",0.676592771006148,1.3
"12","Sphagnum capillifolium","2022",0.779957263786506,1.74
"13","Sphagnum fuscum","2019",1.33844829943759,1.76470588235294
"14","Sphagnum fuscum","2020",0.92539138009234,2.02777777777778
"15","Sphagnum fuscum","2021",0.837456466530251,1.39333333333333
"16","Sphagnum fuscum","2022",0.715495166533872,1.688
"17","Sphagnum jensenii","2019",1.17290187655216,2.65740740740741
"18","Sphagnum jensenii","2020",1.78381522396429,3.32678571428571
"19","Sphagnum jensenii","2021",1.42105053231214,2.44
"20","Sphagnum jensenii","2022",1.04294454950076,1.776
"21","Sphagnum magellanicum","2019",1.27670935317588,1.49642857142857
"22","Sphagnum magellanicum","2020",1.49646850598935,2.03571428571429
"23","Sphagnum magellanicum","2021",0.962892148852913,1.28709677419355
"24","Sphagnum magellanicum","2022",1.09926923778611,1.8375
"25","Sphagnum majus","2019",2.44560711318208,5.28947368421053
"26","Sphagnum majus","2020",2.53142020124951,5.70588235294118
"27","Sphagnum majus","2021",1.2261124126081,3.42142857142857
"28","Sphagnum majus","2022",1.49058044578596,3.37777777777778
"29","Sphagnum papillosum","2019",1.01748089892594,1.74411764705882
"30","Sphagnum papillosum","2020",1.02735689264926,1.84285714285714
"31","Sphagnum papillosum","2021",1.2182269587712,1.745
"32","Sphagnum papillosum","2022",1.32727120113213,2.43235294117647
